N, x, y 
264, -9.736000000000146, -8.62114047166017
265, -9.735000000000147, -8.592394182334106
266, -9.734000000000147, -8.563651947467696
267, -9.733000000000148, -8.534913794498594
268, -9.732000000000149, -8.5061797508475
269, -9.731000000000149, -8.477449843918183
270, -9.73000000000015, -8.448724101097392
271, -9.72900000000015, -8.420002549754901
272, -9.72800000000015, -8.391285217243457
273, -9.727000000000151, -8.362572130898764
274, -9.726000000000152, -8.33386331803947
275, -9.725000000000152, -8.305158805967146
276, -9.724000000000153, -8.276458621966281
277, -9.723000000000154, -8.247762793304226
278, -9.722000000000154, -8.21907134723123
279, -9.721000000000155, -8.190384310980358
280, -9.720000000000155, -8.161701711767552
281, -9.719000000000156, -8.133023576791507
282, -9.718000000000156, -8.104349933233749
283, -9.717000000000157, -8.07568080825858
284, -9.716000000000157, -8.047016229013037
285, -9.715000000000158, -8.018356222626922
286, -9.714000000000159, -7.989700816212735
287, -9.713000000000159, -7.961050036865677
288, -9.71200000000016, -7.932403911663647
289, -9.71100000000016, -7.903762467667195
290, -9.71000000000016, -7.87512573191953
291, -9.709000000000161, -7.846493731446461
292, -9.708000000000162, -7.817866493256448
293, -9.707000000000162, -7.7892440443405
294, -9.706000000000163, -7.76062641167223
295, -9.705000000000163, -7.732013622207784
296, -9.704000000000164, -7.703405702885856
297, -9.703000000000165, -7.674802680627661
298, -9.702000000000165, -7.646204582336902
299, -9.701000000000166, -7.617611434899764
300, -9.700000000000166, -7.589023265184913
301, -9.699000000000167, -7.560440100043442
302, -9.698000000000167, -7.531861966308884
303, -9.697000000000168, -7.50328889079716
304, -9.696000000000168, -7.474720900306614
305, -9.695000000000169, -7.446158021617949
306, -9.69400000000017, -7.417600281494209
307, -9.69300000000017, -7.389047706680803
308, -9.69200000000017, -7.360500323905436
309, -9.691000000000171, -7.331958159878133
310, -9.690000000000172, -7.303421241291181
311, -9.689000000000172, -7.274889594819166
312, -9.688000000000173, -7.246363247118894
313, -9.687000000000173, -7.217842224829418
314, -9.686000000000174, -7.189326554571981
315, -9.685000000000175, -7.1608162629500525
316, -9.684000000000175, -7.132311376549262
317, -9.683000000000176, -7.103811921937397
318, -9.682000000000176, -7.075317925664396
319, -9.681000000000177, -7.046829414262323
320, -9.680000000000177, -7.018346414245333
321, -9.679000000000178, -6.989868952109698
322, -9.678000000000178, -6.9613970543337285
323, -9.677000000000179, -6.932930747377826
324, -9.67600000000018, -6.904470057684393
325, -9.67500000000018, -6.876015011677874
326, -9.67400000000018, -6.847565635764721
327, -9.673000000000181, -6.819121956333346
328, -9.672000000000182, -6.790683999754159
329, -9.671000000000182, -6.762251792379493
330, -9.670000000000183, -6.733825360543624
331, -9.669000000000183, -6.705404730562751
332, -9.668000000000184, -6.676989928734961
333, -9.667000000000185, -6.648580981340238
334, -9.666000000000185, -6.620177914640402
335, -9.665000000000186, -6.591780754879139
336, -9.664000000000186, -6.56338952828197
337, -9.663000000000187, -6.53500426105621
338, -9.662000000000187, -6.506624979390988
339, -9.661000000000188, -6.4782517094571945
340, -9.660000000000188, -6.449884477407494
341, -9.659000000000189, -6.421523309376287
342, -9.65800000000019, -6.393168231479703
343, -9.65700000000019, -6.3648192698155865
344, -9.65600000000019, -6.336476450463465
345, -9.655000000000191, -6.308139799484552
346, -9.654000000000192, -6.279809342921724
347, -9.653000000000192, -6.251485106799484
348, -9.652000000000193, -6.2231671171239755
349, -9.651000000000193, -6.19485539988294
350, -9.650000000000194, -6.166549981045718
351, -9.649000000000195, -6.138250886563231
352, -9.648000000000195, -6.109958142367941
353, -9.647000000000196, -6.081671774373869
354, -9.646000000000196, -6.053391808476555
355, -9.645000000000197, -6.025118270553042
356, -9.644000000000197, -5.996851186461879
357, -9.643000000000198, -5.968590582043073
358, -9.642000000000198, -5.940336483118103
359, -9.641000000000199, -5.912088915489885
360, -9.6400000000002, -5.883847904942757
361, -9.6390000000002, -5.855613477242482
362, -9.6380000000002, -5.827385658136196
363, -9.637000000000201, -5.799164473352417
364, -9.636000000000202, -5.770949948601022
365, -9.635000000000202, -5.742742109573246
366, -9.634000000000203, -5.71454098194164
367, -9.633000000000203, -5.6863465913600555
368, -9.632000000000204, -5.658158963463656
369, -9.631000000000205, -5.629978123868863
370, -9.630000000000205, -5.60180409817339
371, -9.629000000000206, -5.5736369119561715
372, -9.628000000000206, -5.545476590777372
373, -9.627000000000207, -5.517323160178376
374, -9.626000000000207, -5.489176645681778
375, -9.625000000000208, -5.461037072791327
376, -9.624000000000208, -5.432904466991952
377, -9.623000000000209, -5.40477885374973
378, -9.62200000000021, -5.376660258511874
379, -9.62100000000021, -5.348548706706704
380, -9.62000000000021, -5.320444223743646
381, -9.619000000000211, -5.29234683501321
382, -9.618000000000212, -5.264256565886979
383, -9.617000000000212, -5.236173441717584
384, -9.616000000000213, -5.208097487838693
385, -9.615000000000213, -5.180028729564999
386, -9.614000000000214, -5.151967192192187
387, -9.613000000000214, -5.123912900996953
388, -9.612000000000215, -5.095865881236955
389, -9.611000000000216, -5.0678261581508055
390, -9.610000000000216, -5.039793756958061
391, -9.609000000000217, -5.011768702859214
392, -9.608000000000217, -4.983751021035655
393, -9.607000000000218, -4.955740736649675
394, -9.606000000000218, -4.927737874844451
395, -9.605000000000219, -4.899742460744005
396, -9.60400000000022, -4.871754519453233
397, -9.60300000000022, -4.843774076057841
398, -9.60200000000022, -4.815801155624365
399, -9.601000000000221, -4.787835783200138
400, -9.600000000000222, -4.759877983813285
401, -9.599000000000222, -4.73192778247269
402, -9.598000000000223, -4.70398520416801
403, -9.597000000000223, -4.676050273869618
404, -9.596000000000224, -4.64812301652864
405, -9.595000000000224, -4.620203457076887
406, -9.594000000000225, -4.592291620426882
407, -9.593000000000226, -4.564387531471806
408, -9.592000000000226, -4.536491215085533
409, -9.591000000000227, -4.5086026961225505
410, -9.590000000000227, -4.480721999418011
411, -9.589000000000228, -4.4528491497876646
412, -9.588000000000228, -4.424984172027867
413, -9.587000000000229, -4.39712709091557
414, -9.58600000000023, -4.369277931208287
415, -9.58500000000023, -4.341436717644101
416, -9.58400000000023, -4.313603474941627
417, -9.583000000000231, -4.285778227800008
418, -9.582000000000232, -4.257961000898904
419, -9.581000000000232, -4.230151818898474
420, -9.580000000000233, -4.202350706439349
421, -9.579000000000233, -4.174557688142639
422, -9.578000000000234, -4.146772788609904
423, -9.577000000000234, -4.118996032423134
424, -9.576000000000235, -4.091227444144752
425, -9.575000000000236, -4.063467048317577
426, -9.574000000000236, -4.035714869464843
427, -9.573000000000237, -4.007970932090134
428, -9.572000000000237, -3.9802352606774196
429, -9.571000000000238, -3.9525078796910087
430, -9.570000000000238, -3.9247888135755473
431, -9.569000000000239, -3.897078086756004
432, -9.56800000000024, -3.869375723637645
433, -9.56700000000024, -3.8416817486060313
434, -9.56600000000024, -3.813996186027007
435, -9.565000000000241, -3.7863190602466656
436, -9.564000000000242, -3.7586503955913493
437, -9.563000000000242, -3.7309902163676454
438, -9.562000000000243, -3.7033385468623408
439, -9.561000000000243, -3.6756954113424394
440, -9.560000000000244, -3.648060834055124
441, -9.559000000000244, -3.62043483922777
442, -9.558000000000245, -3.59281745106789
443, -9.557000000000246, -3.565208693763158
444, -9.556000000000246, -3.5376085914813737
445, -9.555000000000247, -3.5100171683704544
446, -9.554000000000247, -3.4824344485584278
447, -9.553000000000248, -3.454860456153398
448, -9.552000000000248, -3.427295215243555
449, -9.551000000000249, -3.39973874989714
450, -9.55000000000025, -3.372191084162453
451, -9.54900000000025, -3.3446522420678138
452, -9.54800000000025, -3.3171222476215645
453, -9.547000000000251, -3.289601124812053
454, -9.546000000000252, -3.262088897607619
455, -9.545000000000252, -3.234585589956575
456, -9.544000000000253, -3.207091225787195
457, -9.543000000000253, -3.1796058290077016
458, -9.542000000000254, -3.1521294235062554
459, -9.541000000000254, -3.1246620331509285
460, -9.540000000000255, -3.0972036817897117
461, -9.539000000000255, -3.0697543932504776
462, -9.538000000000256, -3.0423141913409832
463, -9.537000000000257, -3.014883099848849
464, -9.536000000000257, -2.987461142541543
465, -9.535000000000258, -2.960048343166378
466, -9.534000000000258, -2.9326447254504844
467, -9.533000000000259, -2.9052503131008
468, -9.53200000000026, -2.8778651298040736
469, -9.53100000000026, -2.850489199226815
470, -9.53000000000026, -2.823122545015323
471, -9.529000000000261, -2.7957651907956333
472, -9.528000000000262, -2.768417160173541
473, -9.527000000000262, -2.741078476734562
474, -9.526000000000263, -2.7137491640439197
475, -9.525000000000263, -2.6864292456465515
476, -9.524000000000264, -2.659118745067071
477, -9.523000000000264, -2.6318176858097737
478, -9.522000000000265, -2.6045260913586175
479, -9.521000000000265, -2.5772439851772013
480, -9.520000000000266, -2.54997139070876
481, -9.519000000000267, -2.5227083313761534
482, -9.518000000000267, -2.4954548305818443
483, -9.517000000000268, -2.4682109117078923
484, -9.516000000000268, -2.4409765981159346
485, -9.515000000000269, -2.413751913147183
486, -9.51400000000027, -2.3865368801224003
487, -9.51300000000027, -2.359331522341885
488, -9.51200000000027, -2.332135863085472
489, -9.511000000000271, -2.3049499256125094
490, -9.510000000000272, -2.277773733161845
491, -9.509000000000272, -2.2506073089518197
492, -9.508000000000273, -2.2234506761802444
493, -9.507000000000273, -2.1963038580243976
494, -9.506000000000274, -2.169166877641009
495, -9.505000000000274, -2.1420397581662383
496, -9.504000000000275, -2.1149225227156774
497, -9.503000000000275, -2.0878151943843233
498, -9.502000000000276, -2.0607177962465775
499, -9.501000000000277, -2.0336303513562206
500, -9.500000000000277, -2.0065528827464085
501, -9.499000000000278, -1.9794854134296558
502, -9.498000000000278, -1.9524279663978255
503, -9.497000000000279, -1.9253805646221185
504, -9.49600000000028, -1.8983432310530493
505, -9.49500000000028, -1.8713159886204451
506, -9.49400000000028, -1.8442988602334316
507, -9.493000000000281, -1.8172918687804152
508, -9.492000000000282, -1.790295037129072
509, -9.491000000000282, -1.763308388126342
510, -9.490000000000283, -1.7363319445984053
511, -9.489000000000283, -1.709365729350675
512, -9.488000000000284, -1.6824097651677907
513, -9.487000000000284, -1.6554640748135971
514, -9.486000000000285, -1.6285286810311304
515, -9.485000000000285, -1.6016036065426174
516, -9.484000000000286, -1.574688874049451
517, -9.483000000000287, -1.5477845062321842
518, -9.482000000000287, -1.5208905257505172
519, -9.481000000000288, -1.4940069552432813
520, -9.480000000000288, -1.4671338173284327
521, -9.479000000000289, -1.4402711346030361
522, -9.47800000000029, -1.4134189296432484
523, -9.47700000000029, -1.3865772250043196
524, -9.47600000000029, -1.3597460432205646
525, -9.475000000000291, -1.3329254068053658
526, -9.474000000000292, -1.3061153382511468
527, -9.473000000000292, -1.279315860029374
528, -9.472000000000293, -1.2525269945905324
529, -9.471000000000293, -1.225748764364124
530, -9.470000000000294, -1.1989811917586457
531, -9.469000000000294, -1.1722242991615865
532, -9.468000000000295, -1.1454781089394115
533, -9.467000000000295, -1.1187426434375451
534, -9.466000000000296, -1.0920179249803694
535, -9.465000000000297, -1.0653039758712037
536, -9.464000000000297, -1.0386008183922955
537, -9.463000000000298, -1.0119084748048113
538, -9.462000000000298, -0.9852269673488189
539, -9.461000000000299, -0.958556318243281
540, -9.4600000000003, -0.9318965496860415
541, -9.4590000000003, -0.9052476838538132
542, -9.4580000000003, -0.8786097429021658
543, -9.457000000000301, -0.851982748965517
544, -9.456000000000301, -0.8253667241571159
545, -9.455000000000302, -0.7987616905690351
546, -9.454000000000303, -0.7721676702721607
547, -9.453000000000303, -0.7455846853161757
548, -9.452000000000304, -0.7190127577295506
549, -9.451000000000304, -0.6924519095195337
550, -9.450000000000305, -0.6659021626721375
551, -9.449000000000305, -0.6393635391521275
552, -9.448000000000306, -0.6128360609030119
553, -9.447000000000306, -0.5863197498470288
554, -9.446000000000307, -0.5598146278851349
555, -9.445000000000308, -0.5333207168969952
556, -9.444000000000308, -0.5068380387409702
557, -9.443000000000309, -0.4803666152541072
558, -9.44200000000031, -0.4539064682521245
559, -9.44100000000031, -0.42745761952940475
560, -9.44000000000031, -0.40102009085898077
561, -9.439000000000311, -0.37459390399252623
562, -9.438000000000311, -0.3481790806603423
563, -9.437000000000312, -0.32177564257134883
564, -9.436000000000313, -0.29538361141307107
565, -9.435000000000313, -0.2690030088516308
566, -9.434000000000314, -0.24263385653173236
567, -9.433000000000314, -0.216276176076655
568, -9.432000000000315, -0.18992998908823874
569, -9.431000000000315, -0.16359531714687517
570, -9.430000000000316, -0.13727218181149606
571, -9.429000000000316, -0.11096060461956223
572, -9.428000000000317, -0.08466060708705253
573, -9.427000000000318, -0.058372210708453706
574, -9.426000000000318, -0.032095436956748186
575, -9.425000000000319, -0.005830307283404477
576, -9.42400000000032, -0.02042315688163441
577, -9.42300000000032, -0.046664934129961366
578, -9.42200000000032, -0.07289500307471629
579, -9.421000000000321, -0.09911334235059654
580, -9.420000000000321, -0.12531993061386776
581, -9.419000000000322, -0.1515147465423745
582, -9.418000000000323, -0.17769776883555144
583, -9.417000000000323, -0.20386897621443278
584, -9.416000000000324, -0.23002834742166461
585, -9.415000000000324, -0.25617586122151387
586, -9.414000000000325, -0.2823114963998795
587, -9.413000000000325, -0.30843523176430365
588, -9.412000000000326, -0.33454704614398123
589, -9.411000000000326, -0.36064691838977075
590, -9.410000000000327, -0.38673482737420467
591, -9.409000000000328, -0.41281075199150086
592, -9.408000000000328, -0.43887467115757073
593, -9.407000000000329, -0.46492656381003217
594, -9.40600000000033, -0.49096640890821797
595, -9.40500000000033, -0.5169941854331871
596, -9.40400000000033, -0.5430098723877357
597, -9.40300000000033, -0.5690134487964051
598, -9.402000000000331, -0.5950048937054945
599, -9.401000000000332, -0.6209841861830695
600, -9.400000000000333, -0.646951305318973
601, -9.399000000000333, -0.6729062302248359
602, -9.398000000000334, -0.6988489400340854
603, -9.397000000000334, -0.7247794139019595
604, -9.396000000000335, -0.7506976310055089
605, -9.395000000000335, -0.7766035705436175
606, -9.394000000000336, -0.8024972117370025
607, -9.393000000000336, -0.8283785338282319
608, -9.392000000000337, -0.8542475160817319
609, -9.391000000000338, -0.8801041377837941
610, -9.390000000000338, -0.9059483782425897
611, -9.389000000000339, -0.9317802167881779
612, -9.38800000000034, -0.9575996327725127
613, -9.38700000000034, -0.9834066055694604
614, -9.38600000000034, -1.0092011145747997
615, -9.38500000000034, -1.034983139206239
616, -9.384000000000341, -1.0607526589034242
617, -9.383000000000342, -1.0865096531279446
618, -9.382000000000343, -1.1122541013633487
619, -9.381000000000343, -1.137985983115152
620, -9.380000000000344, -1.1637052779108432
621, -9.379000000000344, -1.1894119652998953
622, -9.378000000000345, -1.2151060248537793
623, -9.377000000000345, -1.2407874361659719
624, -9.376000000000346, -1.2664561788519586
625, -9.375000000000346, -1.2921122325492544
626, -9.374000000000347, -1.3177555769174034
627, -9.373000000000347, -1.3433861916379934
628, -9.372000000000348, -1.369004056414667
629, -9.371000000000349, -1.3946091509731255
630, -9.37000000000035, -1.420201455061143
631, -9.36900000000035, -1.4457809484485713
632, -9.36800000000035, -1.4713476109273556
633, -9.36700000000035, -1.4969014223115373
634, -9.366000000000351, -1.5224423624372705
635, -9.365000000000352, -1.5479704111628223
636, -9.364000000000352, -1.5734855483685855
637, -9.363000000000353, -1.5989877539570967
638, -9.362000000000354, -1.624477007853033
639, -9.361000000000354, -1.649953290003224
640, -9.360000000000355, -1.6754165803766685
641, -9.359000000000355, -1.700866858964535
642, -9.358000000000356, -1.7263041057801733
643, -9.357000000000356, -1.7517283008591253
644, -9.356000000000357, -1.777139424259135
645, -9.355000000000357, -1.8025374560601521
646, -9.354000000000358, -1.8279223763643468
647, -9.353000000000359, -1.8532941652961161
648, -9.35200000000036, -1.8786528030020913
649, -9.35100000000036, -1.9039982696511522
650, -9.35000000000036, -1.9293305454344298
651, -9.34900000000036, -1.9546496105653173
652, -9.348000000000361, -1.9799554452794823
653, -9.347000000000362, -2.005248029834871
654, -9.346000000000362, -2.030527344511719
655, -9.345000000000363, -2.055793369612559
656, -9.344000000000364, -2.0810460854622326
657, -9.343000000000364, -2.106285472407897
658, -9.342000000000365, -2.131511510819028
659, -9.341000000000365, -2.1567241810874442
660, -9.340000000000366, -2.1819234636272946
661, -9.339000000000366, -2.2071093388750884
662, -9.338000000000367, -2.232281787289682
663, -9.337000000000367, -2.257440789352313
664, -9.336000000000368, -2.282586325566582
665, -9.335000000000369, -2.3077183764584794
